TweetDate,TweetURL,MediaURL,SavedFilename,TweetContent,Replies,Retweets,Likes
2020/03/30 21:25:43,https://twitter.com/rodyoki/status/1244782894092083200,https://pbs.twimg.com/media/EUZanBlX0AA9FVQ?format=jpg&name=orig,rodyoki-1244782894092083200-20200330_212543-img1.jpg,felt like doing Spider-Gwen. Sorry I couldn`t come up with a better background. digitalart Spiderman MARVEL https://t.co/N0EN6YquLG,,11,22,
2020/03/30 21:25:43,https://twitter.com/rodyoki/status/1244782894092083200,https://pbs.twimg.com/media/EUZbBYKXkAIyPdj?format=jpg&name=orig,rodyoki-1244782894092083200-20200330_212543-img2.jpg,felt like doing Spider-Gwen. Sorry I couldn`t come up with a better background. digitalart Spiderman MARVEL https://t.co/N0EN6YquLG,,11,22,
2020/03/28 21:08:30,https://twitter.com/rodyoki/status/1244053786248859649,https://pbs.twimg.com/media/EUPENV4WkAUVk3o?format=jpg&name=orig,rodyoki-1244053786248859649-20200328_210830-img1.jpg,"tried to do a Garnet by memory. Eh, close enough https://t.co/L1hENBGbA3",2,2,29,
2020/03/21 00:07:41,https://twitter.com/rodyoki/status/1241199776533819398,https://pbs.twimg.com/media/ETmgfEjXsAAE7jG?format=jpg&name=orig,rodyoki-1241199776533819398-20200321_000741-img1.jpg,just some Sigma sketch. character by @Strange_Raptor https://t.co/p1fOFPe5Iy,2,3,13,
2020/03/20 18:02:19,https://twitter.com/rodyoki/status/1241107829181816838,https://pbs.twimg.com/media/ETlMgNzXgAQiG1k?format=jpg&name=orig,rodyoki-1241107829181816838-20200320_180219-img1.jpg,"I came to drop this Guzzlord, hope you don`t mind Pokemon digitalart fanart https://t.co/iP8FXs0tVq",3,7,20,
2020/03/10 15:05:00,https://twitter.com/rodyoki/status/1237439324880343046,https://pbs.twimg.com/media/ESxEdIKWkAAVYNo?format=jpg&name=orig,rodyoki-1237439324880343046-20200310_150500-img1.jpg,Guzzlord wip https://t.co/4WiSbtCJvV,,6,13,
2020/03/09 15:25:27,https://twitter.com/rodyoki/status/1237082084243582979,https://pbs.twimg.com/media/ESr_WU3XYAAgcut?format=jpg&name=orig,rodyoki-1237082084243582979-20200309_152527-img1.jpg,@ImtheUBC9 I`m sorry it took so long to deliver. Hope you like it ,) https://t.co/67GQxau93W,1,,3
2020/03/09 15:25:27,https://twitter.com/rodyoki/status/1237082084243582979,https://pbs.twimg.com/media/ESr_ZPcXkAMo-j-?format=jpg&name=orig,rodyoki-1237082084243582979-20200309_152527-img2.jpg,@ImtheUBC9 I`m sorry it took so long to deliver. Hope you like it ,) https://t.co/67GQxau93W,1,,3
2020/03/01 21:15:21,https://twitter.com/rodyoki/status/1234271035744190464,https://pbs.twimg.com/media/ESECPmTWsAADc1U?format=jpg&name=orig,rodyoki-1234271035744190464-20200301_211521-img1.jpg,unfinished business. it`s gonna take me like 2 more years to finish that face so i`m gonna move on to other things for now. https://t.co/lv60Gu4qql,,1,12,
2020/03/01 21:15:21,https://twitter.com/rodyoki/status/1234271035744190464,https://pbs.twimg.com/media/ESECNCzWsAA1wbK?format=jpg&name=orig,rodyoki-1234271035744190464-20200301_211521-img2.jpg,unfinished business. it`s gonna take me like 2 more years to finish that face so i`m gonna move on to other things for now. https://t.co/lv60Gu4qql,,1,12,
2020/02/25 19:26:45,https://twitter.com/rodyoki/status/1232431767136550912,https://pbs.twimg.com/media/ERp55ZVX0AEOELU?format=jpg&name=orig,rodyoki-1232431767136550912-20200225_192645-img1.jpg,i feel like making some girls. Suggest me some and i`ll try to make em https://t.co/ZSDJD64d6P,1,,14,
2020/02/25 19:26:45,https://twitter.com/rodyoki/status/1232431767136550912,https://pbs.twimg.com/media/ERp56UQXYAAuGWL?format=jpg&name=orig,rodyoki-1232431767136550912-20200225_192645-img2.jpg,i feel like making some girls. Suggest me some and i`ll try to make em https://t.co/ZSDJD64d6P,1,,14,
2020/02/21 15:39:56,https://twitter.com/rodyoki/status/1230925133935759366,https://pbs.twimg.com/media/ERUfWWOXsAYcLK9?format=jpg&name=orig,rodyoki-1230925133935759366-20200221_153956-img1.jpg,i hope i`m not late for a submission tf2cursedart https://t.co/jKLWTHlkd7,4,12,72,
2020/02/17 14:42:12,https://twitter.com/rodyoki/status/1229461057116286976,https://pbs.twimg.com/media/EQ_sT7UXkAI24FA?format=jpg&name=orig,rodyoki-1229461057116286976-20200217_144212-img1.jpg,@YisusBJ1 una reacción con una mona china sin ojos laser ni pistola? bien jugado jebus https://t.co/QoNME3IBE7,1,,,
2020/02/16 21:16:57,https://twitter.com/rodyoki/status/1229198009495322624,https://pbs.twimg.com/media/EQ79EUoX0AA8KH9?format=jpg&name=orig,rodyoki-1229198009495322624-20200216_211657-img1.jpg,heavy wip https://t.co/LYpJbIpzlO,1,4,19,
2020/02/15 16:50:08,https://twitter.com/rodyoki/status/1228768475629252608,https://pbs.twimg.com/media/EQ12ZrKWAAEhosv?format=jpg&name=orig,rodyoki-1228768475629252608-20200215_165008-img1.jpg,"creo que no arruine el sonic con los colores, juas. digitalart https://t.co/7pYDi3UBOX",1,8,31,
2020/02/15 16:50:08,https://twitter.com/rodyoki/status/1228768475629252608,https://pbs.twimg.com/media/EQ12ZrLXkAUJ2-2?format=jpg&name=orig,rodyoki-1228768475629252608-20200215_165008-img2.jpg,"creo que no arruine el sonic con los colores, juas. digitalart https://t.co/7pYDi3UBOX",1,8,31,
